Title,Description,Labels,Estimate,Parent,Reference,Status
Add Open Graph / link-preview cards,"High leverage for this traffic model: the URL gets pasted into emails and forwarded between people, so the unfurled card is the first impression before any click. Set per-page title, description, and a designed OG image; verify rendering when the link is shared. Astro has good patterns for this (e.g. generated OG images).",launch;content;high-priority,2,"Launch readiness (meta, sharing, analytics)",SETUP.md,Todo
Set up lightweight privacy-respecting analytics,"Just enough to confirm people visited — not a conversion funnel (volume is too low for that). Self-hosted Umami on your own server is free and on-ethos for an accessibility person; Plausible/Fathom if you prefer hosted. No cookie banner needed with these.",launch;analytics,1,"Launch readiness (meta, sharing, analytics)",SETUP.md,Todo
Ensure basic indexability,"Minimal SEO only: a sitemap, sensible meta description, and robots config so a search of your name surfaces the site. Skip keyword optimization — organic discovery is rare for this audience.",launch;content,1,"Launch readiness (meta, sharing, analytics)",SETUP.md,Todo
Deferred / hardening,"Epic: known, intentionally-deferred work surfaced during the build — quality, a11y, and config-hardening follow-ups that are scoped but not yet scheduled. Index lives in docs/follow-ups.md; per-component detail in docs/a11y/<component>.md.",hardening,5,,docs/follow-ups.md,Todo
Configure token-aware tailwind-merge for className overrides,"Make cross-component className overrides deterministic (last-wins) via extendTailwindMerge with classGroups generated from the token source; cx stays a plain joiner until this lands. Do the blast-radius investigation across text/bg/border/ring color groups + font-size FIRST, against the private --mc-* / bare-semantic model. Originating rationale: Heading Issue #2 (consumer color-override via cx). Unblocked by ADR-0004.",design-system,3,Deferred / hardening,docs/adr/0004-token-namespace-collision.md,Todo
Point Figma variable code-syntax at the semantic token layer,"Set each Figma variable's code syntax to its bare-named semantic token (e.g. var(--color-primary)); explicitly do NOT reference the private --mc-* primitives (that would re-introduce the tier-boundary violation ADR-0004 removed). Correctness/guardrail pass — ensure no Figma variable still points at a now-renamed primitive — via the Figma plugin code-connect path (the variables REST API is Enterprise-gated). Ref the 'Set Figma variable code syntax' rule in .claude/rules/tokens.md.",design-system;design,2,Deferred / hardening,docs/adr/0004-token-namespace-collision.md,Todo
Fix stale Figma example in .claude/rules/tokens.md,"The example var(--color-bg-primary) is a non-existent bare --color-* name; since --color-* is now semantic-only (primitives are private --mc-*) it reads ambiguously. Replace with a real semantic token (e.g. var(--color-primary)) and add a note that Figma maps to semantic tokens, not the private --mc-* primitives; align with Item H. Touches .claude/ — execute via the hard-stop diff gate.",docs;hard-stop,1,Deferred / hardening,docs/adr/0004-token-namespace-collision.md,Todo
Update CLAUDE.md MCP services list (drop GitHub),"CLAUDE.md:89 still lists GitHub among MCP-wired services; the remote GitHub MCP was removed in commit b341fcd (OAuth advertises no registration_endpoint — gh CLI is the path). Update the connected-services line to the four live connectors (Figma, Linear, Notion, Playwright). Touches root config doc — execute via the hard-stop diff gate.",docs;hard-stop,1,Deferred / hardening,SETUP.md,Todo
Button — distinct pressed token,"Pressed currently reuses the hover token; add a dedicated pressed treatment to better reflect the interaction model.",design-system;a11y,1,Deferred / hardening,docs/a11y/button.md,Todo
"Icon-only stories + accessible-name guard (Button, Link)","JSDoc already requires aria-label for icon-only usage; add demonstrating stories and consider a dev-time guard when icon-only usage actually ships. Recurs on both Button and Link (ref docs/a11y/link.md).",a11y;design-system,1,Deferred / hardening,docs/a11y/button.md,Todo
Heading — guard empty content & forward ref,"children permits empty content (empty <hN>) and no ref is forwarded. Add an empty-content guard and forward a ref.",a11y;design-system,1,Deferred / hardening,docs/a11y/heading.md,Todo
Surface contracts for dark/inverted sections,"Components inherit text color by design; before any non-white surface ships, add a rule to src/components/CLAUDE.md requiring any section that overrides text color to prove its foreground/background pair meets WCAG 1.4.3 (4.5:1 normal / 3:1 large).",a11y,1,Deferred / hardening,docs/a11y/heading.md,Todo
TextField — verify FieldError live-region behavior,"FieldError renders unconditionally (TextField.tsx:63) → an empty live region in the normal state → possible NVDA+Firefox first-announcement drop. axe's 0 violations does NOT clear this (dynamic SR behavior). Investigate RAC's live-region strategy FIRST — the gate-on-errorMessage fix is NOT verified-correct (RAC may render FieldError unconditionally on purpose for a stable live region). Manual NVDA pass needed.",a11y,2,Deferred / hardening,docs/a11y/textfield.md,Todo
Astro 7 upgrade,"Attempted 2026-06-24, blocked by Vite 8 / Rolldown ↔ @storybook/builder-vite JSX incompatibility; reverted clean. Re-attempt when Storybook ships stable Vite 8 / Rolldown support. Re-attempt pins: astro@7.0.2 + @astrojs/react@6.0.0.",stack;blocked,2,Deferred / hardening,docs/adr/0002-astro-version-pin.md,Todo
Decide whether build-incident notes live in the repo (case-study-notes.md),"The build surfaced teachable incidents worth a portfolio case study — the tailwind-merge custom-token drop, the Astro 7 / Vite 8–Rolldown Storybook block (ADR-0002), and the sub-AA contrast catches (docs/a11y/*). The technical record already lives in ADRs / docs/a11y / build journal; this is the Stage 5 narrative-layer decision of whether to also capture an incident → fix → lesson narrative in-repo.",docs;portfolio,1,Deferred / hardening,docs/adr/0002-astro-version-pin.md,Todo
